date,purchase_price,sale_price
1998-06-29,,26.28
1998-06-30,,26.3
1998-07-01,,26.34
1998-07-02,,26.32
1998-07-03,,26.35
1998-07-06,,26.36
1998-07-07,,26.36
1998-07-08,,26.35
1998-07-10,,26.37
1998-07-13,,26.62
1998-07-14,,26.72
1998-07-15,,26.73
1998-07-16,,26.79
1998-07-17,,26.89
1998-07-20,,26.93
1998-07-21,,26.97
1998-07-22,,27.12
1998-07-23,,27.18
1998-07-24,,27.25
1998-07-27,,27.36
1998-07-28,,27.38
1998-07-29,,27.39
1998-07-30,,27.48
1998-07-31,,27.55
1998-08-03,,27.56
1998-08-04,,27.54
1998-08-05,,27.47
1998-08-06,,27.46
1998-08-07,,27.49
1998-08-10,,27.47
1998-08-11,,27.48
1998-08-12,,27.48
1998-08-13,,27.43
1998-08-14,,27.45
1998-08-17,,27.22
1998-08-18,,27.24
1998-08-19,,27.25
1998-08-20,,27.32
1998-08-21,,27.36
1998-08-24,,27.44
1998-08-25,,27.66
1998-08-26,,27.76
1998-08-27,,27.9
1998-08-28,,28.05
1998-08-31,,28.16
1998-09-01,,28.39
1998-09-02,,28.43
1998-09-03,,28.44
1998-09-04,,28.5
1998-09-08,,28.48
1998-09-09,,28.25
1998-09-10,,28.39
1998-09-11,,28.44
1998-09-14,,28.41
1998-09-15,,28.54
1998-09-16,,28.71
1998-09-17,,28.82
1998-09-18,,28.87
1998-09-21,,28.9
1998-09-22,,28.78
1998-09-23,,28.67
1998-09-24,,28.65
1998-09-25,,28.68
1998-09-28,,28.61
1998-09-29,,28.47
1998-09-30,,28.49
1998-10-01,,28.28
1998-10-02,,28.28
1998-10-05,,28.15
1998-10-06,,28.1
1998-10-07,,28.05
1998-10-08,,27.91
1998-10-09,,27.96
1998-10-13,,27.87
1998-10-14,,27.84
1998-10-15,,27.68
1998-10-16,,27.68
1998-10-19,,27.51
1998-10-20,,27.54
1998-10-21,,27.44
1998-10-22,,27.52
1998-10-23,,27.49
1998-10-26,,27.55
1998-10-27,,27.57
1998-10-28,,27.59
1998-10-29,,27.61
1998-10-30,,27.72
1998-11-03,,27.74
1998-11-04,,27.65
1998-11-05,,27.82
1998-11-06,,27.83
1998-11-09,,27.86
1998-11-10,,27.88
1998-11-11,,27.92
1998-11-12,,28.06
1998-11-13,,28.06
1998-11-16,,28.09
1998-11-17,,28.1
1998-11-18,,28.14
1998-11-19,,28.14
1998-11-20,,28.21
1998-11-23,,28.32
1998-11-24,,28.33
1998-11-25,,28.43
1998-11-26,,28.44
1998-11-27,,28.46
1998-11-30,,28.6
1998-12-01,,28.56
1998-12-02,,28.51
1998-12-03,,28.38
1998-12-04,,28.21
1998-12-07,,28.19
1998-12-08,,28.12
1998-12-09,,28.05
1998-12-10,,27.98
1998-12-11,,27.89
1998-12-14,,27.76
1998-12-15,,27.73
1998-12-16,,27.69
1998-12-17,,27.93
1998-12-18,,27.96
1998-12-21,,27.96
1998-12-22,,28.1
1998-12-23,,28.12
1998-12-28,,28.24
1998-12-29,,28.21
1998-12-30,,28.3
1999-01-04,,28.24
1999-01-05,,28.19
1999-01-06,,28.19
1999-01-07,,28.24
1999-01-08,,28.2
